Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\tools\src\CopyAsLink\CopyAsLink.csproj,File,src\tools\src\CopyAsLink\CopyAsLink.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0--windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\docs-dummy.csproj,File,docs\docs-dummy.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\nuget\src\Dummy-PDFsharp.NuGet-wpf\Dummy-PDFsharp.NuGet-wpf.csproj,File,src\foundation\nuget\src\Dummy-PDFsharp.NuGet-wpf\Dummy-PDFsharp.NuGet-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net462 Recommended target framework: net8.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\MigraDoc\src\HelloWorld\HelloWorld,MigraDoc.csproj",File,"src\samples\src\MigraDoc\src\HelloWorld\HelloWorld,MigraDoc.csproj",,,,,,,,Current target framework: net8.0;net462 Recommended target framework: net8.0;net462;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\MigraDoc\src\HelloWorld-gdi\HelloWorld,MigraDoc-gdi.csproj",File,"src\samples\src\MigraDoc\src\HelloWorld-gdi\HelloWorld,MigraDoc-gdi.csproj",,,,,,,,Current target framework: net8.0-windows;net462 Recommended target framework: net8.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\MigraDoc\src\HelloWorld-wpf\HelloWorld,MigraDoc-wpf.csproj",File,"src\samples\src\MigraDoc\src\HelloWorld-wpf\HelloWorld,MigraDoc-wpf.csproj",,,,,,,,Current target framework: net8.0-windows;net462 Recommended target framework: net8.0-windows;net462;net10.0-windows
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,"src\samples\src\PDFsharp\src\HelloWorld\HelloWorld,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld\HelloWorld,PDFsharp.csproj",,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\PDFsharp\src\HelloWorld\HelloWorld,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld\HelloWorld,PDFsharp.csproj",,,,,,,,Current target framework: net8.0;net462 Recommended target framework: net8.0;net462;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,"src\samples\src\PDFsharp\src\HelloWorld-gdi\HelloWorld-gdi,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld-gdi\HelloWorld-gdi,PDFsharp.csproj",,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\PDFsharp\src\HelloWorld-gdi\HelloWorld-gdi,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld-gdi\HelloWorld-gdi,PDFsharp.csproj",,,,,,,,Current target framework: net8.0-windows;net462 Recommended target framework: net8.0-windows;net462;net10.0--windows;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,"src\samples\src\PDFsharp\src\HelloWorld-wpf\HelloWorld-wpf,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld-wpf\HelloWorld-wpf,PDFsharp.csproj",,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"src\samples\src\PDFsharp\src\HelloWorld-wpf\HelloWorld-wpf,PDFsharp.csproj",File,"src\samples\src\PDFsharp\src\HelloWorld-wpf\HelloWorld-wpf,PDFsharp.csproj",,,,,,,,Current target framework: net8.0-windows;net462 Recommended target framework: net8.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.DocumentObjectModel\MigraDoc.DocumentObjectModel.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.DocumentObjectModel\MigraDoc.DocumentObjectModel.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;net462;netstandard2.0;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.DocumentObjectModel.Tests\MigraDoc.DocumentObjectModel.Tests.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.DocumentObjectModel.Tests\MigraDoc.DocumentObjectModel.Tests.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.DocumentObjectModel.Tests\MigraDoc.DocumentObjectModel.Tests.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.DocumentObjectModel.Tests\MigraDoc.DocumentObjectModel.Tests.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\features\MigraDoc.Features\MigraDoc.Features.csproj,File,src\foundation\src\MigraDoc\features\MigraDoc.Features\MigraDoc.Features.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.GBE-Runner\MigraDoc.GBE-Runner.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GBE-Runner\MigraDoc.GBE-Runner.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.GBE-Runner\MigraDoc.GBE-Runner.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GBE-Runner\MigraDoc.GBE-Runner.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample\MigraDoc.GrammarByExample.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample\MigraDoc.GrammarByExample.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample\MigraDoc.GrammarByExample.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample\MigraDoc.GrammarByExample.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-GDI\MigraDoc.GrammarByExample-GDI.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-GDI\MigraDoc.GrammarByExample-GDI.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-GDI\MigraDoc.GrammarByExample-GDI.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-GDI\MigraDoc.GrammarByExample-GDI.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-WPF\MigraDoc.GrammarByExample-WPF.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-WPF\MigraDoc.GrammarByExample-WPF.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-WPF\MigraDoc.GrammarByExample-WPF.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.GrammarByExample-WPF\MigraDoc.GrammarByExample-WPF.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\nuget\src\MigraDoc.NuGet\MigraDoc.NuGet.csproj,File,src\foundation\nuget\src\MigraDoc.NuGet\MigraDoc.NuGet.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\nuget\src\MigraDoc.NuGet-gdi\MigraDoc.NuGet-gdi.csproj,File,src\foundation\nuget\src\MigraDoc.NuGet-gdi\MigraDoc.NuGet-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\nuget\src\MigraDoc.NuGet-wpf\MigraDoc.NuGet-wpf.csproj,File,src\foundation\nuget\src\MigraDoc.NuGet-wpf\MigraDoc.NuGet-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.Rendering\MigraDoc.Rendering.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.Rendering\MigraDoc.Rendering.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.Rendering-gdi\MigraDoc.Rendering-gdi.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.Rendering-gdi\MigraDoc.Rendering-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.Rendering-wpf\MigraDoc.Rendering-wpf.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.Rendering-wpf\MigraDoc.Rendering-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering\MigraDoc.RtfRendering.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering\MigraDoc.RtfRendering.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering-gdi\MigraDoc.RtfRendering-gdi.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering-gdi\MigraDoc.RtfRendering-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering-wpf\MigraDoc.RtfRendering-wpf.csproj,File,src\foundation\src\MigraDoc\src\MigraDoc.RtfRendering-wpf\MigraDoc.RtfRendering-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests\MigraDoc.Tests.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-gdi\MigraDoc.Tests-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,File,src\foundation\src\MigraDoc\tests\MigraDoc.Tests-wpf\MigraDoc.Tests-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\tools\src\NRT-Tests\NRT-Tests.csproj,File,src\tools\src\NRT-Tests\NRT-Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\tools\src\PdfFileViewer\PdfFileViewer.csproj,File,src\tools\src\PdfFileViewer\PdfFileViewer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes\PdfSharp.BarCodes.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes\PdfSharp.BarCodes.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes\PdfSharp.BarCodes.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes\PdfSharp.BarCodes.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-gdi\PdfSharp.BarCodes-gdi.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-gdi\PdfSharp.BarCodes-gdi.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-gdi\PdfSharp.BarCodes-gdi.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-gdi\PdfSharp.BarCodes-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-wpf\PdfSharp.BarCodes-wpf.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-wpf\PdfSharp.BarCodes-wpf.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-wpf\PdfSharp.BarCodes-wpf.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.BarCodes-wpf\PdfSharp.BarCodes-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.Charting\PdfSharp.Charting.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.Charting\PdfSharp.Charting.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.Charting-gdi\PdfSharp.Charting-gdi.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.Charting-gdi\PdfSharp.Charting-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp.Charting-wpf\PdfSharp.Charting-wpf.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.Charting-wpf\PdfSharp.Charting-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\PDFsharp\src\PdfSharp.Cryptography\PdfSharp.Cryptography.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp.Cryptography\PdfSharp.Cryptography.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
